Species,TWTwNo,Dataset
Mallotus japonicas,21130,Test
Mallotus japonicas,17547,Test
Mallotus japonicas,15188,Test
Euptelea polyandra,20197,Test
Euptelea polyandra,21259,Test
Euptelea polyandra,21343,Test
Euptelea polyandra,18144,Test
Euptelea polyandra,13904,Test
Castanea crenata,21985,Test
Castanea crenata,21353,Test
Castanea crenata,21525,Test
Castanea crenata,13874,Test
Castanea crenata,15505,Test
Quercus acuta,20156,Test
Quercus acuta,22654,Test
Quercus acuta,23641,Test
Quercus acuta,24010,Test
Quercus acuta,15852,Test
Quercus salicina,18898,Test
Quercus salicina,19634,Test
Quercus salicina,20250,Test
Quercus salicina,20194,Test
Quercus salicina,23752,Test
Quercus serrata,22501,Test
Quercus serrata,21898,Test
Quercus serrata,15520,Test
Quercus serrata,4280,Test
Quercus serrata,423,Test
Quercus crispula,23715,Test
Quercus crispula,18511,Test
Quercus crispula,21317,Test
Quercus crispula,18050,Test
Quercus crispula,635,Test
Idesia polycarpa,23363,Test
Idesia polycarpa,23380,Test
Idesia polycarpa,19453,Test
Idesia polycarpa,20199,Test
Idesia polycarpa,521,Test
Cinnamomum japonicum,19285,Test
Cinnamomum japonicum,14857,Test
Cinnamomum japonicum,17326,Test
Cinnamomum japonicum,15234,Test
Cinnamomum japonicum,431,Test
Lindera erythrocarpa,23742,Test
Lindera erythrocarpa,19090,Test
Lindera erythrocarpa,21138,Test
Lindera erythrocarpa,20974,Test
Lindera erythrocarpa,741,Test
Lindera umbellata,18369,Test
Lindera umbellata,19076,Test
Lindera umbellata,19958,Test
Lindera umbellata,21541,Test
Lindera umbellata,13945,Test
Ficus erecta,18838,Test
Ficus erecta,15074,Test
Ficus erecta,17424,Test
Ficus erecta,17346,Test
Ficus erecta,15194,Test
Morus australis,19149,Test
Morus australis,19640,Test
Morus australis,19723,Test
Morus australis,21131,Test
Morus australis,21529,Test
Ligustrum japonicum,18545,Test
Ligustrum japonicum,20287,Test
Ligustrum japonicum,15804,Test
Ligustrum japonicum,16157,Test
Ligustrum japonicum,913,Test
Pourthiaea villosa,18736,Test
Pourthiaea villosa,21683,Test
Pourthiaea villosa,15882,Test
Pourthiaea villosa,15651,Test
Pourthiaea villosa,15908,Test
Prunus grayana,19821,Test
Prunus grayana,20483,Test
Prunus grayana,17520,Test
Prunus grayana,11980,Test
Prunus grayana,6423,Test
Prunus jamasakura,14807,Test
Prunus jamasakura,80,Test
Prunus jamasakura,16196,Test
Prunus jamasakura,19664,Test
Prunus jamasakura,21575,Test
Zanthoxylum piperitum,18173,Test
Zanthoxylum piperitum,13958,Test
Zanthoxylum piperitum,14855,Test
Zanthoxylum piperitum,21686,Test
Zanthoxylum piperitum,18650,Test
Deutzia crenata,23490,Test
Deutzia crenata,18588,Test
Deutzia crenata,15535,Test
Deutzia crenata,17555,Test
Deutzia crenata,21533,Test
Hydrangea paniculata,13946,Test
Hydrangea paniculata,16277,Test
Hydrangea paniculata,19915,Test
Hydrangea paniculata,21000,Test
Hydrangea paniculata,21414,Test
Schizophragma hydrangeoides,23632,Test
Schizophragma hydrangeoides,17556,Test
Schizophragma hydrangeoides,13970,Test
Schizophragma hydrangeoides,21222,Test
Schizophragma hydrangeoides,21586,Test
Stachyurus praecox,23378,Test
Stachyurus praecox,15941,Test
Stachyurus praecox,408,Test
Stachyurus praecox,21009,Test
Stachyurus praecox,21387,Test
Euscaphis japonica,23277,Test
Euscaphis japonica,14859,Test
Euscaphis japonica,19941,Test
Euscaphis japonica,20284,Test
Euscaphis japonica,21628,Test
Styrax japonica,23401,Test
Styrax japonica,19586,Test
Styrax japonica,6344,Test
Styrax japonica,17500,Test
Styrax japonica,21549,Test
Camellia japonica,18842,Test
Camellia japonica,16972,Test
Camellia japonica,16974,Test
Camellia japonica,16079,Test
Camellia japonica,19668,Test
Eurya japonica,15662,Test
Eurya japonica,16078,Test
Eurya japonica,19544,Test
Eurya japonica,20182,Test
Eurya japonica,20961,Test
Callicarpa japonica,21936,Test
Callicarpa japonica,18613,Test
Callicarpa japonica,16991,Test
Callicarpa japonica,14760,Test
Callicarpa japonica,19015,Test
Callicarpa mollis,18368,Test
Callicarpa mollis,19012,Test
Callicarpa mollis,15528,Test
Callicarpa mollis,15816,Test
Callicarpa mollis,21700,Test
Clerodendron trichotomum,19147,Test
Clerodendron trichotomum,15236,Test
Clerodendron trichotomum,15069,Test
Clerodendron trichotomum,14834,Test
Clerodendron trichotomum,21354,Test
Acer sieboldianum,21213,Surplus
Acer sieboldianum,13915,Surplus
Actinidia arguta,18695,Surplus
Actinidia arguta,18465,Surplus
Actinidia arguta,19721,Surplus
Actinidia arguta,20480,Surplus
Actinidia arguta,21363,Surplus
Rhus javanica,22570,Surplus
Rhus javanica,23301,Surplus
Rhus javanica,20590,Surplus
Rhus javanica,20517,Surplus
Rhus javanica,21147,Surplus
Rhus javanica,561,Surplus
Rhus javanica,17535,Surplus
Rhus trichocarpa,22728,Surplus
Rhus trichocarpa,13889,Surplus
Rhus trichocarpa,18416,Surplus
Aralia elata,21530,Surplus
Betura grossa,18635,Surplus
Betura grossa,20205,Surplus
Betura grossa,16293,Surplus
Betura grossa,17015,Surplus
Carpinus laxiflora,23524,Surplus
Carpinus laxiflora,23616,Surplus
Carpinus laxiflora,19207,Surplus
Carpinus laxiflora,18996,Surplus
Carpinus laxiflora,21897,Surplus
Carpinus laxiflora,21927,Surplus
Carpinus laxiflora,15914,Surplus
Carpinus japonica,20515,Surplus
Carpinus japonica,21675,Surplus
Carpinus japonica,14803,Surplus
Carpinus japonica,4393,Surplus
Viburnum dilatatum,23407,Surplus
Viburnum dilatatum,19849,Surplus
Viburnum dilatatum,21345,Surplus
Viburnum dilatatum,21651,Surplus
Viburnum dilatatum,17538,Surplus
Euonymus oxyphyllus,19206,Surplus
Euonymus oxyphyllus,19728,Surplus
Euonymus oxyphyllus,20243,Surplus
Euonymus oxyphyllus,21341,Surplus
Euonymus oxyphyllus,14885,Surplus
Euonymus oxyphyllus,14818,Surplus
Euonymus oxyphyllus,16990,Surplus
Clethra barbinervis,23443,Surplus
Clethra barbinervis,20180,Surplus
Clethra barbinervis,21185,Surplus
Clethra barbinervis,21237,Surplus
Clethra barbinervis,21356,Surplus
Clethra barbinervis,21893,Surplus
Clethra barbinervis,17052,Surplus
Clethra barbinervis,15909,Surplus
Clethra barbinervis,4344,Surplus
Clethra barbinervis,18147,Surplus
Cornus Kousa,23649,Surplus
Cornus Kousa,19712,Surplus
Cornus Kousa,21391,Surplus
Cornus Kousa,22711,Surplus
Cornus Kousa,2560,Surplus
Cornus Kousa,16008,Surplus
Cornus macrophylla,23665,Surplus
Cornus macrophylla,18714,Surplus
Cornus macrophylla,19665,Surplus
Cornus macrophylla,19121,Surplus
Cornus macrophylla,20270,Surplus
Cornus macrophylla,21337,Surplus
Cornus controversa,21938,Surplus
Cornus controversa,22032,Surplus
Cornus controversa,22042,Surplus
Cornus controversa,22605,Surplus
Cornus controversa,23634,Surplus
Cornus controversa,19742,Surplus
Cornus controversa,20484,Surplus
Cornus controversa,21563,Surplus
Cornus controversa,21656,Surplus
Cornus controversa,18090,Surplus
Cornus controversa,17047,Surplus
Cornus controversa,17318,Surplus
Cornus controversa,16299,Surplus
Cornus controversa,17541,Surplus
Cornus controversa,18645,Surplus
Daphniphyllum teijsmannii,15041,Surplus
Lyonia ovalifolia,23468,Surplus
Lyonia ovalifolia,18550,Surplus
Lyonia ovalifolia,18824,Surplus
Lyonia ovalifolia,19037,Surplus
Lyonia ovalifolia,20247,Surplus
Lyonia ovalifolia,21694,Surplus
Lyonia ovalifolia,22720,Surplus
Lyonia ovalifolia,14841,Surplus
Lyonia ovalifolia,15943,Surplus
Lyonia ovalifolia,15896,Surplus
Pieris japonica,23411,Surplus
Pieris japonica,23662,Surplus
Pieris japonica,18706,Surplus
Pieris japonica,18397,Surplus
Pieris japonica,15625,Surplus
Pieris japonica,15522,Surplus
Pieris japonica,4345,Surplus
Rhododendron Kaempferi,21987,Surplus
Rhododendron Kaempferi,21126,Surplus
Rhododendron Kaempferi,2561,Surplus
Rhododendron Kaempferi,2563,Surplus
Rhododendron Kaempferi,17019,Surplus
Rhododendron Kaempferi,4291,Surplus
Rhododendron Kaempferi,20273,Surplus
Rhododendron Kaempferi,19717,Surplus
Rhododendron Kaempferi,19016,Surplus
Mallotus japonicas,22599,Surplus
Mallotus japonicas,23660,Surplus
Mallotus japonicas,19104,Surplus
Mallotus japonicas,21340,Surplus
Mallotus japonicas,21531,Surplus
Mallotus japonicas,17395,Surplus
Mallotus japonicas,15037,Surplus
Mallotus japonicas,17351,Surplus
Mallotus japonicas,16065,Surplus
Mallotus japonicas,443,Surplus
Euptelea polyandra,22025,Surplus
Euptelea polyandra,23628,Surplus
Euptelea polyandra,15887,Surplus
Euptelea polyandra,4375,Surplus
Euptelea polyandra,402,Surplus
Castanea crenata,23457,Surplus
Castanea crenata,18586,Surplus
Castanea crenata,18614,Surplus
Castanea crenata,19691,Surplus
Castanea crenata,19793,Surplus
Castanea crenata,22701,Surplus
Castanea crenata,4334,Surplus
Castanea crenata,19145,Surplus
Quercus acuta,19548,Surplus
Quercus acuta,19600,Surplus
Quercus acuta,20264,Surplus
Quercus acuta,15659,Surplus
Quercus salicina,18475,Surplus
Quercus salicina,19449,Surplus
Quercus salicina,21559,Surplus
Quercus serrata,23473,Surplus
Quercus serrata,23669,Surplus
Quercus serrata,23681,Surplus
Quercus serrata,19672,Surplus
Quercus serrata,20611,Surplus
Quercus serrata,20482,Surplus
Quercus serrata,21347,Surplus
Quercus serrata,18715,Surplus
Quercus crispula,18454,Surplus
Quercus crispula,19804,Surplus
Quercus crispula,19965,Surplus
Quercus crispula,20585,Surplus
Quercus crispula,20502,Surplus
Quercus crispula,21402,Surplus
Quercus crispula,21672,Surplus
Quercus crispula,4337,Surplus
Quercus crispula,18017,Surplus
Quercus crispula,13880,Surplus
Quercus crispula,17969,Surplus
Quercus crispula,17525,Surplus
Idesia polycarpa,21946,Surplus
Idesia polycarpa,23747,Surplus
Idesia polycarpa,20953,Surplus
Idesia polycarpa,15805,Surplus
Idesia polycarpa,14906,Surplus
Idesia polycarpa,13670,Surplus
Cinnamomum japonicum,23636,Surplus
Cinnamomum japonicum,18800,Surplus
Cinnamomum japonicum,19117,Surplus
Cinnamomum japonicum,21146,Surplus
Cinnamomum japonicum,21706,Surplus
Cinnamomum japonicum,15501,Surplus
Cinnamomum japonicum,15845,Surplus
Cinnamomum japonicum,16071,Surplus
Lindera erythrocarpa,16007,Surplus
Lindera erythrocarpa,14355,Surplus
Lindera erythrocarpa,5682,Surplus
Lindera umbellata,18514,Surplus
Lindera umbellata,20636,Surplus
Ficus erecta,22527,Surplus
Ficus erecta,23408,Surplus
Ficus erecta,23687,Surplus
Ficus erecta,14315,Surplus
Morus australis,23325,Surplus
Morus australis,18649,Surplus
Morus australis,19552,Surplus
Morus australis,19563,Surplus
Morus australis,19779,Surplus
Morus australis,20240,Surplus
Morus australis,9327,Surplus
Morus australis,17507,Surplus
Morus australis,15075,Surplus
Morus australis,5778,Surplus
Morus australis,15675,Surplus
Morus australis,18074,Surplus
Ligustrum japonicum,22533,Surplus
Ligustrum japonicum,19019,Surplus
Ligustrum japonicum,20942,Surplus
Pourthiaea villosa,19079,Surplus
Pourthiaea villosa,20234,Surplus
Pourthiaea villosa,17079,Surplus
Prunus grayana,18381,Surplus
Prunus grayana,21315,Surplus
Prunus grayana,21711,Surplus
Prunus grayana,1786,Surplus
Prunus grayana,14935,Surplus
Prunus grayana,60,Surplus
Prunus grayana,1121,Surplus
Prunus grayana,13911,Surplus
Prunus grayana,4287,Surplus
Prunus grayana,16292,Surplus
Prunus grayana,16289,Surplus
Prunus jamasakura,18453,Surplus
Prunus jamasakura,19137,Surplus
Prunus jamasakura,17023,Surplus
Prunus jamasakura,846,Surplus
Prunus jamasakura,5693,Surplus
Prunus jamasakura,11982,Surplus
Prunus jamasakura,6324,Surplus
Prunus jamasakura,1380,Surplus
Prunus jamasakura,9333,Surplus
Prunus jamasakura,12250,Surplus
Prunus jamasakura,454,Surplus
Prunus jamasakura,6325,Surplus
Prunus jamasakura,18982,Surplus
Prunus jamasakura,19081,Surplus
Prunus jamasakura,20190,Surplus
Prunus jamasakura,20331,Surplus
Prunus jamasakura,21224,Surplus
Prunus jamasakura,21664,Surplus
Prunus jamasakura,21618,Surplus
Deutzia crenata,22592,Surplus
Deutzia crenata,23621,Surplus
Deutzia crenata,23701,Surplus
Deutzia crenata,19075,Surplus
Deutzia crenata,15867,Surplus
Deutzia crenata,13955,Surplus
Deutzia crenata,19198,Surplus
Deutzia crenata,19153,Surplus
Deutzia crenata,19903,Surplus
Deutzia crenata,20262,Surplus
Deutzia crenata,21190,Surplus
Deutzia crenata,22696,Surplus
Deutzia crenata,21614,Surplus
Hydrangea paniculata,22048,Surplus
Hydrangea paniculata,23506,Surplus
Hydrangea paniculata,23608,Surplus
Hydrangea paniculata,19004,Surplus
Hydrangea paniculata,2875,Surplus
Hydrangea paniculata,15888,Surplus
Hydrangea paniculata,19756,Surplus
Hydrangea paniculata,20255,Surplus
Schizophragma hydrangeoides,22515,Surplus
Schizophragma hydrangeoides,18136,Surplus
Schizophragma hydrangeoides,19667,Surplus
Schizophragma hydrangeoides,19785,Surplus
Stachyurus praecox,21933,Surplus
Stachyurus praecox,22560,Surplus
Stachyurus praecox,22652,Surplus
Stachyurus praecox,23722,Surplus
Stachyurus praecox,18621,Surplus
Stachyurus praecox,18828,Surplus
Stachyurus praecox,16314,Surplus
Stachyurus praecox,14362,Surplus
Stachyurus praecox,15824,Surplus
Stachyurus praecox,15666,Surplus
Stachyurus praecox,4383,Surplus
Stachyurus praecox,4381,Surplus
Stachyurus praecox,14849,Surplus
Stachyurus praecox,14860,Surplus
Stachyurus praecox,19884,Surplus
Stachyurus praecox,20132,Surplus
Stachyurus praecox,20608,Surplus
Stachyurus praecox,20235,Surplus
Stachyurus praecox,20955,Surplus
Euscaphis japonica,23429,Surplus
Euscaphis japonica,23643,Surplus
Euscaphis japonica,18879,Surplus
Euscaphis japonica,19264,Surplus
Euscaphis japonica,19024,Surplus
Euscaphis japonica,19086,Surplus
Euscaphis japonica,15167,Surplus
Euscaphis japonica,12892,Surplus
Euscaphis japonica,19529,Surplus
Euscaphis japonica,20958,Surplus
Styrax japonica,23438,Surplus
Styrax japonica,23614,Surplus
Styrax japonica,14378,Surplus
Styrax japonica,17357,Surplus
Styrax japonica,15161,Surplus
Styrax japonica,12832,Surplus
Styrax japonica,17011,Surplus
Styrax japonica,15802,Surplus
Styrax japonica,19402,Surplus
Styrax japonica,19902,Surplus
Styrax japonica,20606,Surplus
Styrax japonica,20226,Surplus
Styrax japonica,21156,Surplus
Camellia japonica,23458,Surplus
Camellia japonica,19107,Surplus
Camellia japonica,5683,Surplus
Camellia japonica,12891,Surplus
Camellia japonica,15655,Surplus
Camellia japonica,17319,Surplus
Camellia japonica,19428,Surplus
Camellia japonica,20134,Surplus
Camellia japonica,20252,Surplus
Camellia japonica,20209,Surplus
Camellia japonica,20983,Surplus
Eurya japonica,23402,Surplus
Eurya japonica,23690,Surplus
Eurya japonica,18887,Surplus
Eurya japonica,19041,Surplus
Eurya japonica,3401,Surplus
Eurya japonica,4283,Surplus
Eurya japonica,5641,Surplus
Eurya japonica,5670,Surplus
Eurya japonica,13888,Surplus
Eurya japonica,15132,Surplus
Eurya japonica,15497,Surplus
Eurya japonica,15912,Surplus
Eurya japonica,17308,Surplus
Eurya japonica,20153,Surplus
Eurya japonica,20325,Surplus
Eurya japonica,21368,Surplus
Eurya japonica,21713,Surplus
Callicarpa japonica,23390,Surplus
Callicarpa japonica,23497,Surplus
Callicarpa japonica,23677,Surplus
Callicarpa japonica,18516,Surplus
Callicarpa japonica,18804,Surplus
Callicarpa japonica,19729,Surplus
Callicarpa japonica,20492,Surplus
Callicarpa japonica,21132,Surplus
Callicarpa japonica,21181,Surplus
Callicarpa japonica,21691,Surplus
Callicarpa japonica,21592,Surplus
Callicarpa mollis,22493,Surplus
Callicarpa mollis,22648,Surplus
Callicarpa mollis,19898,Surplus
